reference,year,month,day,avgTemperature,avgHumidity,avgCo2
U763012057,2023,1,27,,58.45,663.23
U763012057,2023,1,28,19.66,56.33,622.46
U763012057,2023,1,29,,61.06,
U763012057,2023,1,30,21.04,62.3,629.16
U763012057,2023,1,31,22.54,53.77,500.15
U763012057,2023,2,1,19.38,57.75,703.53
U763012057,2023,2,2,20.48,51.81,626.57
U763012057,2023,2,3,20.96,,650.65
U763012057,2023,2,4,21.44,62.8,
U763012057,2023,2,5,20.15,56.85,584.44
U763012057,2023,2,6,22.47,56.51,646.82
U763012057,2023,2,7,20.05,55.67,619.07
U763012057,2023,2,8,20.76,56.86,640.88
U763012057,2023,2,9,20.86,54.38,521.14
U763012057,2023,2,10,20.02,60.26,
U763012057,2023,2,11,20.39,62.03,606.17
U763012057,2023,2,12,20.63,56.69,671.02
U763012057,2023,2,13,21.74,59.5,
U763012057,2023,2,14,22.08,60.66,
U763012057,2023,2,15,22.62,58.83,
U763012057,2023,2,16,21.3,62.46,602.87
U763012057,2023,2,17,21.5,54.17,646.44
U763012057,2023,2,18,22.41,57.64,567.83
U763012057,2023,2,19,20.01,,608.12
U763012057,2023,2,20,21.07,58.25,637.01
U763012057,2023,2,21,,53.54,653.17
U763012057,2023,2,22,21.13,56.51,
U763012057,2023,2,23,,51.66,
U763012057,2023,2,24,20.15,57.36,776.02
U763012057,2023,2,25,,57.92,625.02
U763012057,2023,2,26,21.05,59.77,
U763012057,2023,2,27,21.26,56.33,701.34
U763012057,2023,2,28,21.47,56.39,758.12
U763012057,2023,3,1,20.04,57.23,
U763012057,2023,3,2,20.4,59.99,607.97
U763012057,2023,3,3,18.95,,
U763012057,2023,3,4,20.0,63.31,585.16
U763012057,2023,3,5,19.32,60.91,597.12
U763012057,2023,3,6,18.45,,691.32
U763012057,2023,3,7,19.84,62.19,
U763012057,2023,3,8,20.29,54.5,
U763012057,2023,3,9,19.02,58.9,632.95
U763012057,2023,3,10,19.09,57.95,
U763012057,2023,3,11,18.17,55.31,
U763012057,2023,3,12,,55.83,703.31
U763012057,2023,3,13,19.39,59.81,577.0
U763012057,2023,3,14,19.08,56.74,
U763012057,2023,3,15,18.68,60.08,667.62
U763012057,2023,3,16,19.73,56.25,
U763012057,2023,3,17,18.6,59.59,
U763012057,2023,3,18,19.41,62.61,
U763012057,2023,3,19,18.48,54.23,
U763012057,2023,3,20,18.75,62.49,671.47
U763012057,2023,3,21,18.35,58.65,737.77
U763012057,2023,3,22,18.96,61.12,666.76
U763012057,2023,3,23,19.56,54.86,
U763012057,2023,3,24,18.94,59.7,490.75
U763012057,2023,3,25,18.7,58.33,
U763012057,2023,3,26,19.12,56.23,
U763012057,2023,3,27,18.61,58.09,
U763012057,2023,3,28,19.21,,
U763012057,2023,3,29,19.05,59.02,657.47
U763012057,2023,3,30,,66.0,629.98
U763012057,2023,3,31,19.55,57.53,752.82
58 greyloch terr,2023,1,1,19.14,60.18,
58 greyloch terr,2023,1,2,18.69,,667.2
58 greyloch terr,2023,1,3,18.47,58.39,613.64
58 greyloch terr,2023,1,4,17.5,60.64,625.42
58 greyloch terr,2023,1,5,,59.35,629.26
58 greyloch terr,2023,1,6,17.92,55.61,
58 greyloch terr,2023,1,7,17.88,,715.18
58 greyloch terr,2023,1,8,18.13,62.5,736.93
58 greyloch terr,2023,1,9,18.94,54.36,
58 greyloch terr,2023,1,10,19.16,62.61,696.62
58 greyloch terr,2023,1,11,17.72,63.09,735.56
58 greyloch terr,2023,1,12,19.44,59.99,612.57
58 greyloch terr,2023,1,13,,59.44,714.48
58 greyloch terr,2023,1,14,18.35,61.34,757.55
58 greyloch terr,2023,1,15,18.04,,625.46
58 greyloch terr,2023,1,16,18.63,64.0,
58 greyloch terr,2023,1,17,17.16,60.68,653.29
58 greyloch terr,2023,1,18,17.44,59.72,
58 greyloch terr,2023,1,19,18.25,56.63,
58 greyloch terr,2023,1,20,18.86,56.24,662.19
58 greyloch terr,2023,1,21,18.78,58.4,743.28
58 greyloch terr,2023,1,22,19.12,59.94,715.15
58 greyloch terr,2023,1,23,18.31,60.36,545.88
58 greyloch terr,2023,1,24,17.42,62.5,700.41
58 greyloch terr,2023,1,25,19.35,61.53,677.74
58 greyloch terr,2023,1,26,18.78,61.66,
58 greyloch terr,2023,1,27,19.48,58.06,731.22
58 greyloch terr,2023,1,28,18.91,63.69,616.91
58 greyloch terr,2023,1,29,18.87,58.73,646.99
58 greyloch terr,2023,1,30,19.63,62.12,639.16
58 greyloch terr,2023,1,31,19.09,61.45,576.23
58 greyloch terr,2023,2,1,19.11,,718.08
58 greyloch terr,2023,2,2,17.83,61.21,610.46
58 greyloch terr,2023,2,3,18.57,59.85,694.09
58 greyloch terr,2023,2,4,18.1,,570.03
58 greyloch terr,2023,2,5,19.54,65.52,677.02
58 greyloch terr,2023,2,6,18.3,61.48,570.0
58 greyloch terr,2023,2,7,18.17,60.5,750.83
58 greyloch terr,2023,2,8,19.28,58.09,694.58
58 greyloch terr,2023,2,9,18.93,63.91,713.17
58 greyloch terr,2023,2,10,18.05,62.81,803.11
58 greyloch terr,2023,2,11,18.5,60.96,619.39
58 greyloch terr,2023,2,12,19.47,59.01,642.52
58 greyloch terr,2023,2,13,19.83,63.01,704.57
58 greyloch terr,2023,2,14,18.55,60.67,682.17
58 greyloch terr,2023,2,15,19.58,56.76,707.9
58 greyloch terr,2023,2,16,18.95,61.57,661.81
58 greyloch terr,2023,2,17,19.5,61.07,587.12
58 greyloch terr,2023,2,18,18.06,61.56,
58 greyloch terr,2023,2,19,18.72,63.77,671.1
58 greyloch terr,2023,2,20,18.9,60.65,
58 greyloch terr,2023,2,21,19.38,57.37,688.92
58 greyloch terr,2023,2,22,17.32,63.5,
58 greyloch terr,2023,2,23,18.14,65.88,642.98
58 greyloch terr,2023,2,24,18.62,56.96,
58 greyloch terr,2023,2,25,19.05,62.42,729.4
58 greyloch terr,2023,2,26,18.08,,551.7
58 greyloch terr,2023,2,27,17.92,64.3,728.68
58 greyloch terr,2023,2,28,19.21,,
58 greyloch terr,2023,3,1,19.74,56.49,721.83
58 greyloch terr,2023,3,2,18.48,56.99,686.16
58 greyloch terr,2023,3,3,19.52,57.43,
58 greyloch terr,2023,3,4,18.48,58.42,606.89
58 greyloch terr,2023,3,5,19.26,62.65,673.96
58 greyloch terr,2023,3,6,18.55,59.4,652.58
58 greyloch terr,2023,3,7,19.61,56.28,611.18
58 greyloch terr,2023,3,8,19.56,,436.97
58 greyloch terr,2023,3,9,18.31,49.46,
58 greyloch terr,2023,3,10,18.87,59.32,
58 greyloch terr,2023,3,11,19.41,56.44,669.02
58 greyloch terr,2023,3,12,18.94,60.96,
58 greyloch terr,2023,3,13,19.49,59.99,657.36
58 greyloch terr,2023,3,14,19.92,60.44,690.33
58 greyloch terr,2023,3,15,19.06,58.57,671.46
58 greyloch terr,2023,3,16,,,
58 greyloch terr,2023,3,17,18.39,60.24,647.36
58 greyloch terr,2023,3,18,19.56,60.18,659.44
58 greyloch terr,2023,3,19,19.2,58.62,740.48
58 greyloch terr,2023,3,20,18.67,55.09,654.34
58 greyloch terr,2023,3,21,19.38,58.81,558.18
58 greyloch terr,2023,3,22,20.48,58.24,691.42
58 greyloch terr,2023,3,23,19.35,56.34,628.87
58 greyloch terr,2023,3,24,19.54,57.17,652.4
58 greyloch terr,2023,3,25,20.13,59.12,
58 greyloch terr,2023,3,26,18.9,54.09,736.82
58 greyloch terr,2023,3,27,19.39,60.25,629.91
58 greyloch terr,2023,3,28,18.76,57.22,612.06
58 greyloch terr,2023,3,29,20.51,60.25,606.94
58 greyloch terr,2023,3,30,18.52,63.96,607.95
58 greyloch terr,2023,3,31,19.14,55.98,597.32
U0952650,2023,1,1,18.14,64.41,
U0952650,2023,1,2,17.68,58.59,560.1
U0952650,2023,1,3,18.78,62.42,633.81
U0952650,2023,1,4,17.55,,
U0952650,2023,1,5,17.98,59.59,
U0952650,2023,1,6,17.97,69.58,
U0952650,2023,1,7,18.19,62.08,683.87
U0952650,2023,1,8,17.33,56.58,697.5
U0952650,2023,1,9,17.75,63.57,656.94
U0952650,2023,1,10,18.84,63.38,
U0952650,2023,1,11,17.79,64.42,550.73
U0952650,2023,1,12,18.26,59.38,
U0952650,2023,1,13,18.59,61.29,627.3
U0952650,2023,1,14,17.57,63.57,699.19
U0952650,2023,1,15,18.09,62.24,604.09
U0952650,2023,1,16,18.05,61.72,
U0952650,2023,1,17,18.06,61.65,665.1
U0952650,2023,1,18,18.7,64.69,575.76
U0952650,2023,1,19,17.16,60.09,
U0952650,2023,1,20,17.96,59.48,581.21
U0952650,2023,1,21,18.48,61.8,675.27
U0952650,2023,1,22,17.98,65.2,628.38
U0952650,2023,1,23,17.75,62.54,
U0952650,2023,1,24,16.91,60.09,546.51
U0952650,2023,1,25,18.09,59.39,637.19
U0952650,2023,1,26,18.89,,619.58
U0952650,2023,1,27,19.56,57.06,626.0
U0952650,2023,1,28,18.61,61.82,703.91
U0952650,2023,1,29,16.79,63.83,692.15
U0952650,2023,1,30,18.33,64.87,
U0952650,2023,1,31,17.95,63.62,
U0952650,2023,2,1,18.95,59.01,758.95
U0952650,2023,2,2,17.75,63.85,629.64
U0952650,2023,2,3,19.86,58.92,
U0952650,2023,2,4,17.41,62.62,
U0952650,2023,2,5,18.01,,640.6
U0952650,2023,2,6,19.23,,600.61
U0952650,2023,2,7,17.98,54.82,528.53
U0952650,2023,2,8,19.22,65.4,
U0952650,2023,2,9,18.48,58.14,
U0952650,2023,2,10,19.1,62.27,
U0952650,2023,2,11,18.19,62.06,739.99
U0952650,2023,2,12,18.83,59.36,590.3
U0952650,2023,2,13,18.01,57.05,602.08
U0952650,2023,2,14,17.46,59.23,644.94
U0952650,2023,2,15,18.3,66.25,650.85
U0952650,2023,2,16,18.25,57.7,
U0952650,2023,2,17,18.3,56.45,685.91
U0952650,2023,2,18,18.19,61.64,686.16
U0952650,2023,2,19,17.44,59.44,640.07
U0952650,2023,2,20,18.71,61.6,
U0952650,2023,2,21,18.37,64.36,573.34
U0952650,2023,2,22,19.67,59.19,670.73
U0952650,2023,2,23,18.78,60.71,
U0952650,2023,2,24,,63.25,564.09
U0952650,2023,2,25,18.42,60.64,722.49
U0952650,2023,2,26,18.44,63.2,
U0952650,2023,2,27,19.15,61.67,
U0952650,2023,2,28,17.88,61.95,
U0952650,2023,3,1,18.43,66.23,554.64
U0952650,2023,3,2,17.67,62.54,596.69
U0952650,2023,3,3,19.71,56.24,575.37
U0952650,2023,3,4,19.57,67.56,621.39
U0952650,2023,3,5,18.56,63.25,
U0952650,2023,3,6,18.44,63.82,718.86
U0952650,2023,3,7,18.77,62.49,664.66
U0952650,2023,3,8,19.47,55.99,620.64
U0952650,2023,3,9,18.77,60.34,710.7
U0952650,2023,3,10,18.69,62.15,629.1
U0952650,2023,3,11,18.96,57.78,795.06
U0952650,2023,3,12,18.14,59.91,754.53
U0952650,2023,3,13,18.85,57.12,
U0952650,2023,3,14,18.84,58.48,
U0952650,2023,3,15,19.07,61.53,
U0952650,2023,3,16,19.33,61.88,608.67
U0952650,2023,3,17,19.73,55.1,634.6
U0952650,2023,3,18,19.36,56.42,533.98
U0952650,2023,3,19,17.9,63.94,
U0952650,2023,3,20,18.2,62.7,589.1
U0952650,2023,3,21,19.55,59.11,
U0952650,2023,3,22,19.11,,753.8
U0952650,2023,3,23,18.83,59.18,
U0952650,2023,3,24,18.36,61.47,
U0952650,2023,3,25,18.91,60.6,698.12
U0952650,2023,3,26,17.76,62.19,581.31
U0952650,2023,3,27,17.67,62.39,548.12
U0952650,2023,3,28,19.04,65.24,
U0952650,2023,3,29,18.95,59.14,661.97
U0952650,2023,3,30,18.85,59.09,616.61
U0952650,2023,3,31,18.74,57.97,572.87
U1258816,2023,1,1,17.21,64.52,670.13
U1258816,2023,1,2,17.63,63.7,
U1258816,2023,1,3,17.08,65.98,678.49
U1258816,2023,1,4,16.81,67.23,657.36
U1258816,2023,1,5,17.09,63.16,
U1258816,2023,1,6,16.47,64.82,636.37
U1258816,2023,1,7,,66.78,
U1258816,2023,1,8,16.9,61.94,
U1258816,2023,1,9,16.44,64.33,689.38
U1258816,2023,1,10,17.19,60.07,646.5
U1258816,2023,1,11,17.35,60.13,694.57
U1258816,2023,1,12,16.6,59.74,581.11
U1258816,2023,1,13,17.04,64.8,662.02
U1258816,2023,1,14,18.07,61.98,
U1258816,2023,1,15,17.48,57.96,682.03
U1258816,2023,1,16,,64.14,650.86
U1258816,2023,1,17,17.25,65.18,671.03
U1258816,2023,1,18,16.47,60.51,
U1258816,2023,1,19,16.91,61.75,657.17
U1258816,2023,1,20,17.68,58.9,611.06
U1258816,2023,1,21,17.15,59.06,623.51
U1258816,2023,1,22,17.19,,650.67
U1258816,2023,1,23,16.18,60.59,
U1258816,2023,1,24,17.51,63.09,
U1258816,2023,1,25,16.32,58.74,695.32
U1258816,2023,1,26,16.22,65.58,622.26
U1258816,2023,1,27,17.1,58.63,
U1258816,2023,1,28,17.33,61.81,
U1258816,2023,1,29,17.78,56.59,
U1258816,2023,1,30,17.71,62.93,
U1258816,2023,1,31,16.59,63.11,713.46
U1258816,2023,2,1,18.68,63.75,
U1258816,2023,2,2,16.96,57.74,
U1258816,2023,2,3,17.17,63.36,462.76
U1258816,2023,2,4,17.86,60.77,627.67
U1258816,2023,2,5,16.58,62.67,577.27
U1258816,2023,2,6,17.41,61.09,583.4
U1258816,2023,2,7,18.36,63.53,677.28
U1258816,2023,2,8,17.53,,
U1258816,2023,2,9,16.18,61.77,695.27
U1258816,2023,2,10,16.7,59.68,672.3
U1258816,2023,2,11,17.45,58.68,
U1258816,2023,2,12,17.68,66.9,744.21
U1258816,2023,2,13,15.9,67.51,693.44
U1258816,2023,2,14,18.42,57.07,672.93
U1258816,2023,2,15,15.97,67.57,
U1258816,2023,2,16,17.64,58.64,671.22
U1258816,2023,2,17,17.4,,
U1258816,2023,2,18,16.99,63.1,619.4
U1258816,2023,2,19,16.49,62.71,597.21
U1258816,2023,2,20,18.22,59.89,576.91
U1258816,2023,2,21,17.07,60.42,738.34
U1258816,2023,2,22,17.84,60.2,
U1258816,2023,2,23,18.1,59.29,760.08
U1258816,2023,2,24,17.38,66.99,
U1258816,2023,2,25,17.18,60.91,612.65
U1258816,2023,2,26,17.74,60.75,
U1258816,2023,2,27,16.67,59.58,
U1258816,2023,2,28,,60.37,689.51
U1258816,2023,3,1,16.5,62.07,663.62
U1258816,2023,3,2,17.52,62.24,540.9
U1258816,2023,3,3,18.67,53.82,
U1258816,2023,3,4,17.87,55.25,608.26
U1258816,2023,3,5,18.2,56.26,561.25
U1258816,2023,3,6,17.88,63.36,
U1258816,2023,3,7,17.55,65.74,
U1258816,2023,3,8,18.7,54.15,
U1258816,2023,3,9,17.25,62.05,
U1258816,2023,3,10,17.83,58.4,
U1258816,2023,3,11,17.16,64.01,670.28
U1258816,2023,3,12,17.57,61.19,693.2
U1258816,2023,3,13,18.19,62.69,581.63
U1258816,2023,3,14,18.31,59.79,590.5
U1258816,2023,3,15,17.7,65.66,633.78
U1258816,2023,3,16,17.73,64.44,658.18
U1258816,2023,3,17,19.13,63.88,604.94
U1258816,2023,3,18,19.07,58.31,653.81
U1258816,2023,3,19,17.79,57.35,649.76
U1258816,2023,3,20,18.4,61.22,540.22
U1258816,2023,3,21,17.42,64.72,707.3
U1258816,2023,3,22,17.74,62.12,
U1258816,2023,3,23,17.54,65.68,664.52
U1258816,2023,3,24,18.28,61.72,552.35
U1258816,2023,3,25,18.18,57.85,695.53
U1258816,2023,3,26,17.27,66.23,714.07
U1258816,2023,3,27,18.76,61.82,570.78
U1258816,2023,3,28,17.74,,
U1258816,2023,3,29,18.4,65.06,684.89
U1258816,2023,3,30,17.53,60.24,701.99
U1258816,2023,3,31,18.14,62.38,743.63
U96274511,2023,1,1,17.79,65.38,
U96274511,2023,1,2,19.06,60.5,747.14
U96274511,2023,1,3,18.8,63.53,
U96274511,2023,1,4,18.42,,670.21
U96274511,2023,1,5,18.11,57.99,714.79
U96274511,2023,1,6,19.12,56.79,
U96274511,2023,1,7,17.36,61.55,
U96274511,2023,1,8,17.72,53.23,638.01
U96274511,2023,1,9,17.53,,784.88
U96274511,2023,1,10,18.21,62.99,691.61
U96274511,2023,1,11,18.26,59.56,652.4
U96274511,2023,1,12,18.27,67.67,601.69
U96274511,2023,1,13,18.4,64.61,539.19
U96274511,2023,1,14,17.19,59.16,655.82
U96274511,2023,1,15,17.34,61.4,
U96274511,2023,1,16,19.27,63.61,605.46
U96274511,2023,1,17,18.87,66.78,661.35
U96274511,2023,1,18,18.57,55.71,
U96274511,2023,1,19,17.87,63.54,685.75
U96274511,2023,1,20,16.8,61.71,487.74
U96274511,2023,1,21,17.76,,676.01
U96274511,2023,1,22,18.41,65.92,650.13
U96274511,2023,1,23,17.61,61.57,683.56
U96274511,2023,1,24,18.39,53.72,
U96274511,2023,1,25,18.6,57.88,513.17
U96274511,2023,1,26,18.0,59.64,
U96274511,2023,1,27,19.0,54.98,
U96274511,2023,1,28,17.19,65.3,621.04
U96274511,2023,1,29,18.21,61.59,679.5
U96274511,2023,1,30,17.13,59.91,
U96274511,2023,1,31,17.27,62.67,651.78
U96274511,2023,2,1,18.74,60.23,
U96274511,2023,2,2,18.43,62.35,648.13
U96274511,2023,2,3,18.0,58.07,679.57
U96274511,2023,2,4,17.57,59.79,743.94
U96274511,2023,2,5,17.64,59.89,678.84
U96274511,2023,2,6,18.53,60.78,635.57
U96274511,2023,2,7,18.19,58.87,775.62
U96274511,2023,2,8,18.23,65.66,
U96274511,2023,2,9,18.91,65.99,696.37
U96274511,2023,2,10,17.5,64.76,697.66
U96274511,2023,2,11,17.07,60.71,673.06
U96274511,2023,2,12,18.3,,547.16
U96274511,2023,2,13,18.94,61.99,
U96274511,2023,2,14,17.34,,728.86
U96274511,2023,2,15,17.38,59.21,693.64
U96274511,2023,2,16,18.94,58.32,532.7
U96274511,2023,2,17,18.22,62.5,736.44
U96274511,2023,2,18,19.09,62.43,
U96274511,2023,2,19,18.84,64.08,615.68
U96274511,2023,2,20,18.05,55.95,738.28
U96274511,2023,2,21,18.03,56.5,647.69
U96274511,2023,2,22,17.77,60.91,618.86
U96274511,2023,2,23,18.33,,748.84
U96274511,2023,2,24,19.21,62.67,614.33
U96274511,2023,2,25,18.36,59.04,664.98
U96274511,2023,2,26,18.9,61.98,665.47
U96274511,2023,2,27,18.24,58.2,694.89
U96274511,2023,2,28,19.61,59.63,670.12
U96274511,2023,3,1,18.1,64.2,650.4
U96274511,2023,3,2,17.62,58.58,
U96274511,2023,3,3,19.16,59.28,604.35
U96274511,2023,3,4,18.62,57.56,606.11
U96274511,2023,3,5,18.48,59.13,663.5
U96274511,2023,3,6,19.13,62.63,
U96274511,2023,3,7,,60.51,639.03
U96274511,2023,3,8,19.45,63.08,585.71
U96274511,2023,3,9,19.4,58.92,591.79
U96274511,2023,3,10,18.12,65.44,564.88
U96274511,2023,3,11,19.36,58.45,608.97
U96274511,2023,3,12,18.58,65.69,
U96274511,2023,3,13,19.82,58.75,606.11
U96274511,2023,3,14,18.31,60.5,618.26
U96274511,2023,3,15,17.96,63.21,677.25
U96274511,2023,3,16,18.04,59.2,
U96274511,2023,3,17,18.12,59.18,572.5
U96274511,2023,3,18,19.29,57.42,
U96274511,2023,3,19,19.21,61.61,553.4
U96274511,2023,3,20,19.06,58.28,605.62
U96274511,2023,3,21,,54.85,660.09
U96274511,2023,3,22,18.86,60.97,
U96274511,2023,3,23,18.51,55.76,
U96274511,2023,3,24,18.5,59.33,646.51
U96274511,2023,3,25,,58.61,694.04
U96274511,2023,3,26,18.81,67.01,533.69
U96274511,2023,3,27,,62.44,746.74
U96274511,2023,3,28,18.56,57.62,706.42
U96274511,2023,3,29,18.52,62.62,675.78
U96274511,2023,3,30,18.1,55.11,629.89
U96274511,2023,3,31,19.17,61.79,706.8
U032503,2023,1,1,17.35,62.87,
U032503,2023,1,2,16.7,63.97,
U032503,2023,1,3,16.14,,
U032503,2023,1,4,16.14,61.43,
U032503,2023,1,5,16.7,61.61,
U032503,2023,1,6,16.41,63.45,661.32
U032503,2023,1,7,16.89,62.99,
U032503,2023,1,8,16.9,60.39,685.46
U032503,2023,1,9,16.81,61.07,679.19
U032503,2023,1,10,17.22,61.93,
U032503,2023,1,11,16.42,61.81,617.34
U032503,2023,1,12,17.14,,
U032503,2023,1,13,17.19,67.55,
U032503,2023,1,14,16.1,62.01,752.98
U032503,2023,1,15,15.27,58.42,683.45
U032503,2023,1,16,17.07,66.65,
U032503,2023,1,17,17.02,62.9,
U032503,2023,1,18,16.73,64.72,
U032503,2023,1,19,17.3,64.08,587.39
U032503,2023,1,20,16.29,69.1,
U032503,2023,1,21,16.06,61.26,
U032503,2023,1,22,16.76,64.57,691.68
U032503,2023,1,23,16.48,62.66,
U032503,2023,1,24,16.11,62.65,
U032503,2023,1,25,16.3,70.56,
U032503,2023,1,26,16.69,62.18,
U032503,2023,1,27,17.25,65.93,672.03
U032503,2023,1,28,,56.76,
U032503,2023,1,29,17.08,61.17,704.4
U032503,2023,1,30,16.89,66.85,
U032503,2023,1,31,17.25,63.62,
U032503,2023,2,1,16.63,67.89,
U032503,2023,2,2,16.79,56.25,
U032503,2023,2,3,17.63,63.01,629.47
U032503,2023,2,4,18.91,64.99,
U032503,2023,2,5,16.58,57.65,654.5
U032503,2023,2,6,16.8,64.58,621.15
U032503,2023,2,7,15.76,64.13,
U032503,2023,2,8,16.56,63.17,
U032503,2023,2,9,18.33,62.0,
U032503,2023,2,10,17.58,62.35,
U032503,2023,2,11,16.92,62.33,705.24
U032503,2023,2,12,16.43,58.67,645.29
U032503,2023,2,13,17.29,60.33,677.74
U032503,2023,2,14,17.95,58.1,
U032503,2023,2,15,16.77,62.49,
U032503,2023,2,16,17.28,60.22,
U032503,2023,2,17,17.08,65.4,
U032503,2023,2,18,16.91,64.34,662.83
U032503,2023,2,19,17.28,64.86,627.41
U032503,2023,2,20,16.78,66.11,
U032503,2023,2,21,17.92,60.31,617.57
U032503,2023,2,22,18.01,62.4,643.81
U032503,2023,2,23,17.42,,
U032503,2023,2,24,16.63,61.37,594.14
U032503,2023,2,25,16.2,55.24,
U032503,2023,2,26,18.19,59.89,681.16
U032503,2023,2,27,16.68,56.53,
U032503,2023,2,28,16.49,63.81,
U032503,2023,3,1,18.02,59.13,620.63
U032503,2023,3,2,18.73,63.74,
U032503,2023,3,3,17.81,60.14,
U032503,2023,3,4,18.39,61.35,572.71
U032503,2023,3,5,16.35,64.83,
U032503,2023,3,6,18.29,66.41,660.0
U032503,2023,3,7,,66.05,
U032503,2023,3,8,17.1,70.24,
U032503,2023,3,9,16.73,60.29,723.7
U032503,2023,3,10,17.07,60.03,587.48
U032503,2023,3,11,18.15,64.91,
U032503,2023,3,12,17.03,64.72,
U032503,2023,3,13,17.46,61.21,556.62
U032503,2023,3,14,16.21,55.81,
U032503,2023,3,15,17.72,56.9,
U032503,2023,3,16,17.88,62.42,
U032503,2023,3,17,17.34,65.6,
U032503,2023,3,18,17.62,62.46,
U032503,2023,3,19,16.08,61.74,743.1
U032503,2023,3,20,17.66,59.25,
U032503,2023,3,21,17.97,59.67,
U032503,2023,3,22,18.0,,
U032503,2023,3,23,17.07,63.8,
U032503,2023,3,24,17.19,63.54,
U032503,2023,3,25,18.97,62.69,
U032503,2023,3,26,16.28,58.29,699.28
U032503,2023,3,27,18.14,,
U032503,2023,3,28,,58.12,
U032503,2023,3,29,18.13,59.03,494.83
U032503,2023,3,30,17.97,65.41,
U032503,2023,3,31,18.88,,
greyloch terrace 171,2023,1,1,17.86,60.35,671.8
greyloch terrace 171,2023,1,2,17.83,64.44,
greyloch terrace 171,2023,1,3,17.25,62.71,
greyloch terrace 171,2023,1,4,19.33,61.39,673.25
greyloch terrace 171,2023,1,5,17.1,56.0,671.17
greyloch terrace 171,2023,1,6,17.27,56.45,
greyloch terrace 171,2023,1,7,18.34,57.21,
greyloch terrace 171,2023,1,8,18.38,58.93,696.62
greyloch terrace 171,2023,1,9,17.99,56.34,634.49
greyloch terrace 171,2023,1,10,18.24,60.99,
greyloch terrace 171,2023,1,11,16.91,58.28,619.22
greyloch terrace 171,2023,1,12,18.69,59.63,681.35
greyloch terrace 171,2023,1,13,18.15,56.34,
greyloch terrace 171,2023,1,14,17.14,64.06,693.55
greyloch terrace 171,2023,1,15,18.04,64.32,652.44
greyloch terrace 171,2023,1,16,18.01,60.51,687.64
greyloch terrace 171,2023,1,17,,63.4,640.09
greyloch terrace 171,2023,1,18,18.45,58.55,683.34
greyloch terrace 171,2023,1,19,18.62,59.87,594.58
greyloch terrace 171,2023,1,20,17.99,61.62,610.75
greyloch terrace 171,2023,1,21,16.78,63.05,650.14
greyloch terrace 171,2023,1,22,17.82,58.21,625.51
greyloch terrace 171,2023,1,23,18.5,58.81,586.72
greyloch terrace 171,2023,1,24,19.24,59.09,609.8
greyloch terrace 171,2023,1,25,17.97,60.35,543.22
greyloch terrace 171,2023,1,26,17.32,57.82,688.49
greyloch terrace 171,2023,1,27,19.57,58.36,
greyloch terrace 171,2023,1,28,17.24,60.64,
greyloch terrace 171,2023,1,29,19.72,55.23,754.16
greyloch terrace 171,2023,1,30,17.0,,588.14
greyloch terrace 171,2023,1,31,19.29,62.42,
greyloch terrace 171,2023,2,1,19.66,63.27,725.51
greyloch terrace 171,2023,2,2,18.22,62.67,
greyloch terrace 171,2023,2,3,18.84,60.5,641.36
greyloch terrace 171,2023,2,4,17.13,63.83,575.29
greyloch terrace 171,2023,2,5,18.35,56.19,646.3
greyloch terrace 171,2023,2,6,,60.38,
greyloch terrace 171,2023,2,7,17.66,62.97,616.08
greyloch terrace 171,2023,2,8,19.42,62.09,735.18
greyloch terrace 171,2023,2,9,18.65,,
greyloch terrace 171,2023,2,10,18.44,58.6,
greyloch terrace 171,2023,2,11,17.64,60.77,714.59
greyloch terrace 171,2023,2,12,18.53,57.31,688.52
greyloch terrace 171,2023,2,13,17.36,61.93,678.38
greyloch terrace 171,2023,2,14,18.66,64.45,633.45
greyloch terrace 171,2023,2,15,17.81,,587.86
greyloch terrace 171,2023,2,16,17.87,64.23,687.26
greyloch terrace 171,2023,2,17,18.38,64.5,554.44
greyloch terrace 171,2023,2,18,18.04,58.94,636.52
greyloch terrace 171,2023,2,19,18.58,62.48,655.15
greyloch terrace 171,2023,2,20,20.03,62.18,674.67
greyloch terrace 171,2023,2,21,17.6,60.05,684.14
greyloch terrace 171,2023,2,22,18.9,54.84,
greyloch terrace 171,2023,2,23,19.1,62.29,
greyloch terrace 171,2023,2,24,18.11,57.6,
greyloch terrace 171,2023,2,25,18.52,63.75,634.15
greyloch terrace 171,2023,2,26,17.74,,580.59
greyloch terrace 171,2023,2,27,19.33,65.82,
greyloch terrace 171,2023,2,28,18.36,65.2,572.46
greyloch terrace 171,2023,3,1,18.92,63.63,664.29
greyloch terrace 171,2023,3,2,20.76,57.76,559.95
greyloch terrace 171,2023,3,3,18.84,55.76,
greyloch terrace 171,2023,3,4,19.81,64.63,584.93
greyloch terrace 171,2023,3,5,18.97,61.91,685.9
greyloch terrace 171,2023,3,6,18.36,63.23,491.74
greyloch terrace 171,2023,3,7,20.02,57.94,581.88
greyloch terrace 171,2023,3,8,18.78,58.11,722.37
greyloch terrace 171,2023,3,9,20.6,58.68,587.76
greyloch terrace 171,2023,3,10,18.91,64.24,730.12
greyloch terrace 171,2023,3,11,18.74,63.49,628.25
greyloch terrace 171,2023,3,12,19.63,61.41,
greyloch terrace 171,2023,3,13,,63.44,
greyloch terrace 171,2023,3,14,19.47,60.47,555.47
greyloch terrace 171,2023,3,15,19.16,64.05,686.39
